,text,label
38,i feel like taking a whack at someone s eye and spitting on it a cranky old lady i try to cheer myself up,anger
39,i feel really special and important,joy
40,i sit the chicken preferably bone in chicken thighs skinless because i feel they have the most flavor in a crock pot so that it becomes tender and falls apart,love
41,i feel empty and i wait for new signs,sadness
42,i honestly do not feel discouraged today as i usually do,sadness
43,i only feel such an aching rush if im hearing it,sadness
44,i feel mmf and i cant be bothered to fight it,anger
45,i cant sleep i switch on music if i need to wake up i switch on music if i feel morose music it is that comes to my rescue whenever i feel ecstatic the tunes are by my side if i want to meet my wild side hail music,sadness
46,i feel so discontent with this decision,sadness
47,i know it so difficult especially when you feel you have been wronged,anger
48,i see the starlight caress your hair no more feel the tender kisses we used to share i close my eyes and clearly my heart remembers a thousand good byes could never put out the embers,love
49,i hope i m proved wrong but i can t see the england u international hitting double figures next season and unless they invest in the rest of the team to provide him with service i feel they re doomed,sadness
50,i could smell the chlorine feel my aching muscles see my portly mustached coach and prepubescent teammates and hear the whistles and hollers from the parents in the stands,sadness
51,i have a feeling hes going to be way more successful than i am,joy
52,i love this song and it always makes me feel happy,joy
53,i everyone this will be a bit of a brief post as ive got a stinking cold at the moment and am feeling very very crappy but i have another page done on,sadness
54,i feel a special draw toward and awed admiration for the firefighters who led the charge into the towers when everyone else was rushing out,joy
55,i didn t feel accepted,joy
56,i feel sometimes i am like heartless tin woodman sometimes like cowardly lion but i really want to believe there is a href http www,anger
57,i just feel discouraged because the industry is enormous what makes me special in a sea of pretty girls,sadness
58,i appeared in his office stony expression back on my face prepared to sever ties with the man while feeling heartbroken at the prospect,sadness
59,i suppose a couple days of not feeling so hot is better than whooping cough the visit went really well,love
60,i miss our talks our cuddling our kissing and the feelings that you can only share with your beloved,love
61,i feel energetic and excited to see my results at the end of the week,joy
62,i feel so shamed that i want to give up,sadness
63,i feel perfect with you on facebook href http www,joy
64,i hope he will pull out the tissue paper himself but i feel like to him sunday will be just another day to be cute and wonderful,joy
65,i also feel it is unfortunate that nearly all the readers of going to meet the man will be african americans unlike myself,sadness
66,i look and feel miserable,sadness
67,i try to share what i bake with a lot of people is because i love people and i want them to feel loved,love
68,i feel very strange today,fear
69,i have no extra money im worried all of the time and i feel so beyond pathetic,sadness
70,i have a feeling that was because we opted to shoot more photojournalistically and completely prop free which is a personal fave of mine,joy
71,i must say to get to this point where i feel nothing but just friendly feelings towards him takes alot of time,joy
72,i feel that this is important in itself the fact that we all have our own individual way of grieving,joy
73,i cant help to also feel a little restless,fear
74,i have a lot to learn i feel like people are supportive of me,love
75,i feel in perfect height or just height threads picture images,joy
76,i feel like im an unwelcome presence whenever she is around,sadness
77,i can really decode but im sorry i have to vomit my feelings out because i am so cranky and everything is getting on my nerves,anger
78,i feel like ive been punished and i can turn it around and dont have anything to be afraid of,sadness
79,i am feeling pretty guilty about posting pictures of some stray cat i cuddled on the street and not even posting pictures of my own two cats,sadness
80,i was trying really hard to be a people pleaser and itd left me feeling so defeated,sadness
81,i have a feeling there will be many sarcastic quotes in this and future posts about him yikes,anger
82,i feel so damn fucking disgusted violated and hurt and angry and everything,anger
83,i feel stressed or my family is being negative work is my getaway and every stressor goes away because of the kids,sadness
84,i told her that i woke up feeling mad that i am a woman and that i am probably always going to have to worry about being raped,anger
85,i feel for you despite the bitterness and longing,love
86,i feel ecstatic and light as air,joy
87,i would lie in bed and feel it somehow sparkle and i knew that even if most meningiomas are benign mine was growing and needed to come out sooner rather than later,joy
88,i still feel like im getting away with something naughty,love
89,i didnt feel rushed,anger
90,i feel a tad bit envious of my younger self i was in great running shape young and had my whole life ahead of me,anger
91,i feel like the people i know are really generous and i have my needs met,joy
92,im feeling a bit out of my depth with my colouring skills amongst all this talent though so please be gentle with me,love
93,i feel like hes a little pissed at me,anger
94,i have gained some weight i feel very insecure in my self image,fear
95,i feel like i ve been having some issues with focus and exposure lately and i m not sure if it is my camera or me,joy
96,im feeling more fucked up than last night,anger
97,i can feel violent biff whole length is hit by thunder same desire fire is ignited very quickly,anger
98,i am reading something the saints have written i feel a real pang of sweet pain for the love they have for our lord,love
99,im not trying to sound sarcastic but only trying to make the point that amid the daily pressures of life as wife and mom we often may find ourselves feeling kind of unimportant or robotic if you will in carrying out our tasks,sadness
100,im not crying in a corner or feeling so out of control irritable that i cant handle it,anger
101,im feeling nostalgic cant beat the corys iframe allowfullscreen allowfullscreen frameborder height src http www,love
102,i love the foamy feel it is so gentle on the skin doesnt sting or irritate whatsoever,love
103,i feel so stupid at how easily i cry these days,sadness
104,i feel very privileged to watch such beautiful dancers move and call it work,joy
105,i feel cold in,anger
106,i really feel like damaged goods,sadness
107,i feel the cool edge of the barrel against my head,joy
108,i do feel completely isolated,sadness
109,i didnt feel all too devastated until i saw people running from the smoke and all,sadness
110,i am still feeling good,joy
111,i saw lil seb i feel in love and thought he be perfect to carry around with me while i explore baltimore,joy
112,i feel awful still but really,sadness
113,i always feel regretful a few weeks after,sadness
114,i have personally experienced this gut wrenching feeling and kicked myself later for making those dumb mistakes that result when anxiety gets in the way,sadness
115,i went from feeling helpless to powerful,sadness
116,i am actually feeling a little triumphant watching this economic crisis unfold,joy
117,i want to without feeling too inhibited,sadness
118,when i was doing research a few months ago,anger
119,i don t feel all that petty about crying over skin,anger
120,i feel insulted by saying real is bigger than man u real is a cows shit,anger
121,i love for my girls to have an imagination and read fair tales but i feel strongly that reality is also important,joy
122,i have heard that there are women out there whose pinterest experiences causes them to feel inadequate as mothers wives and friends,sadness
123,i ahem guess i havent been feeling compassionate,love
124,i run a full computer scan with my avast antivirus it shows no viruses however i m still feeling kind of paranoid about these programs,fear
125,i for one am feeling a bit anxious at how long we are staying but i know we need to do this,fear
126,i am feeling pretty pleased with the amount of work trackchanges has allowed me to document,joy
127,im honest im surprised at myself for feeling so emotional about it all having adopted a rather juvenile sneer against heaney as a bored year old in school,sadness
128,i knew there were a lot of hormonal things going on in my body too but the uncontrollable crying was still from feeling so uncertain about everything,fear
129,i feel as though im doomed to finding a man,sadness
130,i really feel so lame today,sadness
131,i feel like a graph doesnt show the data accurately enough to be useful,joy
132,i have a lot of feelings of love and warmth for her but sometimes i think i tortured her,anger
133,i and feel quite ungrateful for it but i m looking forward to summer and warmth and light nights,sadness
134,i was feeling frightened to the core what if my friends laughed at me what if sir was too harsh what if,fear
135,i don t know why this makes me feel so distraught,fear
136,i feel such gratitude for the generous gifts we received on our wedding day over years ago,love
137,i feel like it will not be as good if i do it early,joy
138,i see her face i just think about the amazing journey that shes been on here with us and i feel so privileged to have been a part of it,joy
139,i was fond of but to whom i have remained quiet about my liking for them either because i am confused about my feeling or because i feel inadequate about myself,sadness
140,im feeling truly adventurous ill go for a faux hawk of some sort,joy
141,im tired of feeling like damaged goods for being a victim,sadness
142,i feel like im a gorgeous person,joy
143,i feel insulted as if he feels he doesn t have to work for my money anymore he can put out anything people will buy it and radio will find something to play just because its him,anger
144,i feel a funny mix of emotions,surprise
145,i will never forget as he shot the dye into me telling me ok youre going to feel a hot flash and then it will feel like youve pissed yourself,love
146,i shouldnt feel threatened by that,fear
147,ive been having more frequent hot flashes throughout the day sometimes and im starting to feel just a tender touch of achy pain in one spot in my back which i hope isnt another new bone tumor metastasis,love
148,i have more of an idea of what to expect how time consuming a newborn baby is how much they feed how they might disrupt your sleep the potential for feeling isolated how you have to scale back what you can reasonably expect to do in a day and so on,sadness
149,i feel so much love for him and he is so supportive,love
150,i feel accepted by the boys,joy
151,i was sleeping when i heard the neighbours screaming,fear
152,i mean i feel like such a fucking obnoxious bitch admitting this but i get a lot of messages from guys on myspace during the week,anger
153,i will just say i feel emotionally calm and centered i just feel that as my self respect grows my desire for better things naturally progresses,joy
154,i often feel offended when people other fans think i name my son joshua as joshua in josh groban,anger
155,i really forgot how it feels to laugh sincerely and he is the one who make my sincere laughter come back,joy
156,im feeling a little dazed at the amount of items that i no longer use for decorations,surprise
157,i think my taiko experience so far has been at the root of my feeling dissatisfied and somewhat unhappy lately but theres just something else that i havent been able to explain,anger
158,i get the feeling that tyler is not very fond of the idea,love
159,i feel so incredibly hopeless about losing weight,sadness
160,i didnt want to feel outcasted as the uptight religious mormon girl nor did i want to feel like i had to remind everyone i did not drink smoke or wear short dresses,fear
161,i suspect that it will really appeal to christian readers but as an atheist i ended up feeling insulted by its religious message and its treatment of the topic,anger
162,i viewed back the new year card that you presented me i can feel your sincere,joy
163,im tired or feeling a little shitty it always puts me in a better mood,sadness
164,i have stayed at heritage christian because of the fulfillment that i feel in doing christ s work in action by being the hands the eyes the legs and the voice of supporting the individuals that i have been blessed to know and support,joy
165,i am just feeling overwhelmed and there is nothing i can do to fix it,surprise
166,i was looking at her and leaning a bit forward feeling really keen on to her,joy
167,i don t feel alarmed and wonder if i should,fear
168,i didn t feel frightened i m rarely scared of any place but i couldn t help feeling uneasy in the company of so many big groups of men and the only woman visible anywhere,fear
169,i begged her to come in the house with me when we got back and she did but left right away feeling distinctly unwelcome,sadness
170,i really want people to read my blog s but i can t write anything interesting enough i just write what i m feeling and who wants to read that boring kind of thing,sadness
171,id been feeling a bit funny all day verging on the kind of pre menstrual where you hate yourself so id been trying to take it really easy and just doing my own thing,surprise
172,i just feel really listless right now,sadness
173,i expected to feel more but nope i dont and thats a pleasant surprise,joy
174,when going to the exam,fear
175,im feeling a little better and with more christmas spirit i thought that by this date id had all my christmas decorations up but im not finish even with the lights,joy
176,i started feeling a little vulnerable when the giant spotlight started blinding me,fear
177,im sure much of the advantage is psychological the feeling ive out clevered the competition who are now hopelessly burdened with their big chainring jump,sadness
178,i am not a vegetarian and probably never will but i am feeling increasingly sympathetic towards those who are and towards the animals being slaughtered for our benefits,love
179,i recommend bacon for dinner if you want to feel like youre doing something naughty,love
180,i have arrived home feeling some remorse and a bit troubled,sadness
181,i feel like waiting for you to be online and you didnt makes me furious,anger
182,i mean if someone wrote fanfiction about my book and made my villain gay for say druian i d be sitting there reading it and feeling furious,anger
183,i feel the cool water on my skin and the sun hugging me in warm comfort,joy
184,i feel anything internally i m convinced that i m feeling my last breath heartbeat burp whatever,joy
185,i have a feeling often and often that its dangerous to wait for things that if you wait for things they only go further and further away,anger
186,i feel like thats petty so i convince myself that i dont give a shit,anger
187,ive this bad feeling that im being hated,sadness
188,i was going to tell you more about my trip to oregon but right now im not super feeling it and reading about other peoples vacations gets a little boring right,sadness
189,i leave the meeting feeling more than a little disheartened,sadness
190,i feel lucky really,joy
191,i could feel the muscles in my arches ankles and calves working to support my stride and i felt so much more graceful,joy
192,i feel better without it,joy
193,i was feeling pretty pleased with myself with the addition of two year birds and so i decided to walk around the fire station area which has produced good birds in the past,joy
194,i want people to have confidence that if they were in my chair they would leave looking and feeling amazing,joy
195,i also remember feeling like all eyes were on me all the time and not in a glamorous way and i hated it,joy
196,i think i just mostly feel uncertain,fear
197,i feel so cool like ice t huhwe neun gatda beoryeo priceless sesang ye ban bani namja neottaemune na ulji anha gucha hage neoreul jabgeo na mae dallil ireun jeoldae no,joy
198,i feel like ive been tortured in my sleep lately and im not quite sure why,fear
199,i feel invigorated full of energy ready for the day ahead,joy
200,i really have much of a clue how my ex actually feels or felt about anything really except that he hated it when i didnt screw the lids back on jars in the kitchen,anger
201,i woke up feeling ugly and im sure i looked like a hot mess,sadness
202,i feel a strange obligation to be interested and encouraging even when the kid is clearly taking the piss,fear
203,i contributed my ideas and opinions during discussions and i feel that i contributed ideas that were valued and taken into consideration,joy
204,i was starting feel a bit regretful for the break up so i thought id write this list to remind me why i broke it off,sadness
205,i cannot wait for school to end so i can change into a tank top and shorts and head to the gym and then to release my toxins and stretch and realize that homework is important but feeling good is even better,joy
206,i don t know this shit happens but every time i find out about yet another secret makeshift graveyard full of women s bones i feel that enraged impotence just like it was the first time,anger
207,i do not feel outraged by the change in name changing tanjore to thanjavur and mysore to mysuru makes more sense but since the previous cities were named by the very people who made them what they are today from mere villages to major power centres it s not a crime to retain those names,anger
208,i am more well read and i feel like im becoming more intelligent and articulate,joy
209,i feel so terrified to tell her,fear
210,i feel pretty rotten,sadness
211,im not really terrified of childbirth this time around and even though i know no matter what unexpectedly pops up you really can survive it and even though the author of my baby planner would be beaming with pride that i followed her instructions to the letter im still feeling a bit uncertain,fear
212,i own the brushes are constantly used and i feel that they are a worthwhile investment,joy
213,i didnt regret anything after bought this and i feel so satisfied about it thankyouu lt,joy
214,i feel lonely and he always talks to me,sadness
215,i feel repressed enough as it is and these sorts of repressive measures and guidelines only succeed in making me want to have more sex and partaking of the revelry that comes with being a dirty slut,sadness
216,i can only feel rejected and tossed aside and hurt for so long before i get enough guts to just pick up and move on,sadness
217,i feel eager to push forward but so far havent applied myself completely to it,joy
218,i feel overwhelmed by my circumstance in all of my mere human ness i will remember that god has landed here,surprise
219,im feeling a little vulnerable,fear
220,i wouldnt buy it but if someone gave me some id wear it if i was feeling a particularly vain that day but not really,sadness
221,i still don t feel devastated by the break up,sadness
222,i am at day and i am feeling terrific,joy
223,i almost feel a little bit weird about saying anything because it would almost feel like gossip,surprise
224,i have been feeling suitably punished,sadness
225,i always feel vaguely suspicious giving my personal details to random strangers i tell myself not to give her my real date of birth,fear
226,i do think as he was feeling a bit of humiliated they did not have an excellent alternative they wanted all of us to clarify the fact that stop mortgage is working,sadness
227,i cant seem to get passed feeling stunned,surprise
228,i began feeling shaky my heart was sort of skipping around i felt like someone who had been drinking coffee all day long,fear
229,i hope all of you epers feel terrific too,joy
230,i do reviews only on my personal experience please do not feel insulted or put off by my words i intend only to advise,anger
231,i feel very vulnerable and exposed too when i was in school i never thought this was how my life was going to be,fear
232,i feel for the death of this innocent child i dont trust her or her story,joy
233,i do know that when i see the colour purple it makes me feel calm,joy
234,im feeling less grumpy after that,anger
235,i need to be able to pursue the creative opportunities i crave without feeling like i m throwing my family under the bus funny how they still want to be fed even when i have a big gig to prepare for,surprise
236,i like the new ones better i feel they are superior to the originals in every single way,joy
237,i can feel a sense of comfort with nostalgic sweetness,love
238,i came home with these bits and bobs feeling very pleased with myself and ready for some sunny british weather,joy
239,i feel strongly that those who finger point and wish to control other peoples lives are not feeling very peaceful and content within their own lives,joy
240,i feel no need to offer it though i do feel a bit suspicious in the area of is she doing this just to try and lump all the people who have bothered to argue cogently with her in with the woman hating misogynists,fear
241,i rarely feel inspired and ready to write,joy
242,i feel loyal to skirtsports,love
243,i have to think for days what to text him and i feel really nervous if he doesnt answer,fear
244,im kinda relieve but at the same time i feel disheartened,sadness
245,i have tuned in to some country music the past year but it has only left me feeling empty,sadness
246,i have panic attacks when the phone rings and just feel so isolated,sadness
247,i have had a seizure i am not allowed to take part even though i feel fine,joy
248,i firmly believe that you shouldnt have to spend a lot to look feel fantastic and i love mixing style steals with higher end items,joy
249,i feel like such a goof ball for the things i am curious about but i see life as this adventure that i get to embark on and i want to squeeze every ounce of good from it,surprise
250,i feel i have rushed moments where i begin to take this life here for granted i just look at them they look at me and my graced life becomes the stage again warts crushed worms under foot and all the other conflicts that come with it,anger
251,i feel for him and im sympathetic because i have known people who have struggled with alcohol and drug addiction,love
252,i do feels amazing and is an investment for something greater,joy
253,i have a positive or negative experience depends largely on how much i feel control was either respected or taken from me,joy
254,im just feeling insecure and while i can easily diagnose these dispositions it doesnt help,fear
255,ive been sitting in my wheel chair to move laundry and while the chair isnt terribly maneuverable due to the confines of the small laundry area at least it feels fairly safe even it it is still quite a struggle,joy
256,i wait to hear if you feel i should find this is acceptable,joy
257,im feeling very remorseful at the moment,sadness
258,talking to a very good friend who had just had a very bad experience which was changing his whole way of looking at life etc,sadness
259,when i noticed two spiders running on the floor in different directions,anger
260,i am feeling so invigorated and so ready to keep pushing on to goal,joy
261,i feel like a super hero now that she naps amp sleeps in her crib,joy
262,i feel like its one of the most valuable tools in my art box,joy
263,i began to feel a lot better about the situation and decided to just keep doing what i was doing,joy
264,i am left feeling underwhelmed and ungrateful,sadness
265,i feel that popular culture especially in the uk and the usa is mired in an unsavoury mix squalor and stupidity,joy
266,i want to feel good but during that short week you don t get a chance,joy
267,i feel like im alone in missing him and because of that i feel a bit foolish for missing him as much as i do,sadness
268,i did though and woke up feeling terrific,joy
269,i know that part of the problem is that i feel like i have become more boring and less of an interesting person since those days,sadness
270,i feel that anger toward someone else not caring about someone else being selfish creating a negative impression of someone else not noticing the person next to them not saying hello to someone they must recognize where is my good heart,love
271,i feel so useless as i am bent on p here on the floor,sadness
272,i know sweetie turning in a month but you re still years old it s hard to comprehend what s going on except that the feeling isn t pleasant,joy
273,i feel bitter about me being like this but then i really am not,anger
274,i thought it would be fun and therapeutic and that i would feel useful and helpful by keeping up her blog,joy
275,i feel pretty confident in saying this,joy
276,i don t speak more than a few words of the local language and i have to rely on him to translate the conversations for me i feel submissive,sadness
277,i just feel like if i can just make it through this week it will be ok,joy
278,i want to be happy again and i have forgotten what it is like to feel content,joy
279,i have just been feeling so thankful humbled and blessed for my family and where we are in our life,joy
280,i feel greatly humiliated by the beauty of everything,sadness
281,im feeling a bit needy i keep thinking i would appreciate any attention but of course that is not true,sadness
282,i feel them at all and cannot just be content becoming a widow nun derby girl or something is what they become for me in my head,joy
283,i feel privileged and beyond lucky to have met him,joy
284,i feel discouraged and realize face palm that i need to look at things with a different perspective to be grateful about anything i can find,sadness
285,i want to feel pretty or handsome or something,joy
286,i have to say i really feel a little useful for the progress of the second half the replacement of the shirt plus the coach s hairdryer,joy
287,i do feel very excited about travelling because it s not often that i get to travel and it s definitely not often that i get to do it for free,joy
288,i walk into a restaurant well any public place i feel like all eyes are on me and i feel really paranoid,fear
289,ill just cut amp paste it next time i feel the urge to type something as whiney as that,sadness
290,i was feeling and was surprised when i told him i felt fine no fatigue,surprise
291,i especially enjoyed listening to shotgun lovesongs on audio book as it just seemed to give even more depth and feeling to what is truly a very special novel,joy
292,i can say is that i feel like myself when i put on a skirt heels and lipstick and when i wear clothing which has come to be accepted as neutral and nondescript like a t shirt and jeans i dont feel like myself,love
293,i am sure she makes all waiting couples feel this way but we left feeling like she is pulling for us and she will be so thrilled when it all works out,joy
294,i feel rude taking pictures of them,anger
295,i got a sore throat then a runny nose then a full blown congested head cold which fell on the bank holiday tuesday and has left me feeling low and blue and bleurgh since then,sadness
296,i meet up with the team i don t feel welcomed or accepted,joy
297,i feel completely restless and then i feel fine where i am,fear
298,i feel complimented or insulted,anger
299,i am feeling lots of movement now but gar is unsure whether he feels or not,fear
300,i have had several new members tell me how comfortable they feel with how accepted they are by the existing members and that is great to hear,love
301,i wont vote this year just to feel naughty and inflammatory,love
302,i feel reassured that i was able to observe myself clinging with such clarity,joy
303,i was very happy with impact made by valbuena and diaby especially the latter who i feel has what it takes to overhaul a shaky usual starter,fear
304,im dealing with issues that have me feeling kind of depressed and it stormed rained all afternoon not helping things,sadness
305,i don t really like to shop for the most part but when i feel threatened that s when i want to spend,fear
306,i am talking purely about feeling here but i just didnt feel that emotional when the boy was killed,sadness
307,i do love the idea of having slave brothers but not at expense that i feel ignored lonely and frustrated and so depressed,sadness
308,i feel grumpy i am short with my wife or children,anger
309,i feel terrible about it though because i know how much courage it takes to ask,sadness
310,i notice that is generally toward the end of the day that i start feeling really doubtful,fear
311,i got a feeling that it was rushed to,anger
312,i like the domestic scene salty sweet combos recipe reviews the smell of rosemary babies the feeling of having exercised hand clapping rhymes books lost teacups and laundry that has been washed dried folded and put away,sadness
313,i feel india management should and must be regretting the vital mistake they made during wc when they made a deadly mistake of dropping laxman for dinesh for just his fielding qualities when we all know that laxman is not at all a bad slipper,joy
314,i would have to think oh the poor lady always being sick always being stressed feeling so isolated,sadness
315,i pretty much get a feeling that i am not liked at all by them,love
316,i feel the need to put my deepest darkest vulnerabilities into words it s not pleasant but it helps me,joy
317,i also loved bruise brothers it was so much fun playing alongside so many brilliant skaters and feeling useful on track,joy
318,i felt ashamed of these feelings and was scared because i knew that something wrong with me and thought i might be gay,fear
319,im feeling wonderful these days,joy
320,ive never had a cavity and the dentist always praises me and makes me feel fabulous because of my outstanding dental health,joy
321,i feel needy when i ask someone to hang out with me and i end up not trying after a few times of being told no i have plans sorry,sadness
322,i was living with when i first started coming to the gatherings on sunday mornings i feel quite fearless now,joy
323,im starting to feel unwelcome in there,sadness
324,i saw him on galaxies magazine i feel curious why this singer is so famous,surprise
325,i feel so frightened at the thought of opening up my heart,fear
326,i feel tortured being away from my baby,anger
327,i feel like i m trying to convince the most skeptical disbelieving person in the world that yes i really do have bipolar disorder,fear
328,i feel like being sincere i am speechless lacking in my ability to combine meaningless characters into a diagram of thoughts,joy
329,i have had my treasury selection on the front page a couple of times and believe me it is a real squeeee moment you feel jolly and smug and treat yourself to extra chocolate that day,joy
330,im feeling kind of petty and selfish,anger
331,i will feel comfortable handing it over to an editor,joy
332,i feel very loyal to it and i like doing it for as long as they want to do it and as long as we all want to do it,love
333,i won t feel like the jolly green giant while clothes shopping,joy
334,i feel irritable when he starts talking about it because it can go on for ev er,anger
335,i was feeling somewhat irritable through the whole thing,anger
336,i always feel accepted by them,joy
337,im praying you didnt feel a thing and it was peaceful for you,joy
338,i can still feel the anger pounding in my ears but the certainty is starting to trickle away leaving me shaken and unsure,fear
339,i know how i feel about spamming when it happens to me and i was not impressed,surprise
340,i am feeling too grouchy to be properly penitential,anger
341,i was feeling sentimental and so it made sense to commemorate the milestone with a book,sadness
342,i didnt often feel helpless,sadness
343,i can not help but feel distraught about it,fear
344,i had the same physical problems years ago that i have today i would have thought i would never make it to while i now feel less bothered by those same problems since i dont have a choice and dont care to let them bother me,anger
345,i always want my guests to know how much i appreciate them coming to visit so i strive to really make them feel welcomed and loved,joy
346,i am feeling isolated with this infection as i have not told any of my friends only my sister and my mother who do not live close to me therefore feel i don t have anyone to talk to,sadness
347,id love to go shopping for sure because i am annoyed feeling bitchy as of right now towards everyone especially you you you,anger
348,im going to have to spend the next five hours listening to three days grace to work it out of my system and you know how i feel about their rebellious apostrophe neglect,anger
349,i feel so dumb photographing myself okay i even feel dumb trying to smile for justin,sadness
350,i feel its hardly a loss since the food at kao chi is not only delicious but also more budget friendly,joy
351,i dont remember a day i was not romantic and feel passionate about the feeling of life,love
352,i feel worthless confused edgy and mentally drained,sadness
353,im trying to wein off them with doctors guidance of course but if i miss a day i feel agitated about everything,fear
354,i guess but it feels like the most unpleasant joke youve ever heard,sadness
355,i ever feel ugly or ashamed of my body,sadness
356,i feel lucky to have escaped without worse consequences,joy
357,i figured i have to blog about what i feel passionate about or im not doing myself or this blog any justice,love
358,i am feeling wonderful filled with hope and faith,joy
359,i like good jokes i like to have a good company and subkect of talking i like a man that can make a woman feel horny,love
360,im feeling very agitated right now,anger
361,i feel about one of my most beloved songs of all time,love
362,i don t always feel quite as graceful but that s a story for another time,joy
363,i see the more i feel is fake,sadness
364,i had started about two days ago with some sound sensitivity that i hadnt been having for a little while and then i started with feeling almost like motion if you will from movements and then started with smell sensitivity but luckily it hasnt bothered me since last night,anger
365,i really dont think seriously happy and focused like i am familiar with feeling nonetheless rather i feel strangely distracted and uncomfortable,anger
366,i feel like a super hero of sorts,joy
367,i feel assaulted by all directions,sadness
368,i have to admit that i m feeling quite gloomy today the first real day on my own in atlanta,sadness
369,i just need a few minutes to feel put upon and gloomy or to rage and spit,sadness
370,i had struggled through a difficult pregnancy i was feeling apprehensive and excited at the same time about the soon to be newest member of our family,fear
371,i feel guilty about feeling guilty over my health crisis when i am so damn lucky to be here,sadness
372,i thought i would i just feel blank,sadness
373,i still feel quite contented amp happy lah,joy
374,i legislators certainly feel they need this protection given the fact that car bombings blamed on al qaeda in iraq continue to hit iraqi cities and the parliamentary building itself was bombed in by a suicide bomber though not a vehicle bomb,sadness
375,i mention that i feel really unwelcome,sadness
376,i was feeling much more agitated than usual had difficulties sleeping and constantly required my parents presence,fear
377,i must tell you that i have been doing much more yoga lately and i feel all lovely and loose in my joints and muscles,love
378,i feel quite clever,joy
379,id like to be losing a month but i know that a month is not sustainable for me and i am losing a month without feeling deprived which is more awesome than i can explain,sadness
380,i almost always feel dissatisfied with novels after i finish them,anger
381,i feel like im just not passionate about anything anymore,joy
382,i feel cool because the plane has four seats instead of only two,joy
383,i still cannot find the damned tin certificate but i feeling mellow i clean up cart out two salt bags full of junk to the rubbish bin,joy
384,im having a picnic feeling a little playful,joy
385,i wrote maybe a truth because i want to tell one guy something and i am afraid to tell him how i feel because he pissed me off,anger
386,i feel so embarrassed and humiliated korean attack victim accuses police sydney morning herald posted on pm with a href http brisbanehub,sadness
387,ive had times of feeling really lonely even though ive got facebook friends,sadness
388,i am feeling so sad right now,sadness
389,i feel some kind of artistic stream in my head,joy
390,i feel alarmed her fingers gripping tight i see her pleading eyes so i start to disguise and say that everythings alright,fear
391,i am on the same exact combination i was on when i conceived tate i started feeling so hopeful this month,joy
392,i remember feeling disheartened one day when we were studying a poem really dissecting it verse by verse stanza by stanza,sadness
393,i drew this because i feel hated,sadness
394,i feel shamed that i hoped for one last christmas because i know she would never want to live life as she is now helpless and weak,sadness
395,i had no particular feelings about him before except that he seemed decently clever taking pictures of the alien instead of the chaos,joy
396,i feel pretty pathetic now,sadness
397,i cant tell you what this feels like on the face but it certainly felt wonderful on my body,joy
398,i feel rich comments,joy
399,i feel like a failure at parenting and each time one of the boys screams at me talks back to be or just blatantly disregards me i am convinced ive lost the battle,joy
